;;;;Utility;Suppressed;Transformation
Cup;Loss;p-uniqueness (zayatz);0.005;0.07466059531330412;0.0;(60%, 50%, 0%, 0%, 0%, 25%, 25%, 25%)
Cup;Entropy;p-uniqueness (zayatz);0.006;0.4421704160163988;0.0;(60%, 100%, 0%, 0%, 0%, 25%, 50%, 0%)
Cup;Loss;p-uniqueness (zayatz);0.006;0.07466059531330412;0.0;(60%, 50%, 0%, 0%, 0%, 25%, 25%, 25%)
Cup;Entropy;p-uniqueness (zayatz);0.007;0.44024191389972944;1.4738103119433803;(60%, 100%, 0%, 0%, 0%, 75%, 25%, 0%)
Cup;Loss;p-uniqueness (zayatz);0.007;0.07466059531330412;0.0;(60%, 50%, 0%, 0%, 0%, 25%, 25%, 25%)
Cup;Entropy;p-uniqueness (zayatz);0.008;0.43601768483765596;0.890591258019262;(60%, 100%, 0%, 0%, 0%, 75%, 25%, 0%)
Cup;Loss;p-uniqueness (zayatz);0.008;0.07466059531330412;0.0;(60%, 50%, 0%, 0%, 0%, 25%, 25%, 25%)
Cup;Entropy;p-uniqueness (zayatz);0.009;0.4321104601667653;0.3452026292145458;(60%, 100%, 0%, 0%, 0%, 75%, 25%, 0%)
Cup;Loss;p-uniqueness (zayatz);0.009;0.07466059531330412;0.0;(60%, 50%, 0%, 0%, 0%, 25%, 25%, 25%)
Cup;Entropy;p-uniqueness (zayatz);0.01;0.4294260892171596;0.0;(60%, 100%, 0%, 0%, 0%, 25%, 25%, 0%)
Cup;Loss;p-uniqueness (zayatz);0.01;0.07466059531330412;0.0;(60%, 50%, 0%, 0%, 0%, 25%, 25%, 25%)
Cup;Entropy;p-uniqueness (snb);0.001;0.4919738028931066;6.675493765861194;(60%, 100%, 0%, 0%, 0%, 100%, 100%, 0%)
Cup;Loss;p-uniqueness (snb);0.001;0.12073979025537959;2.501536861020476;(80%, 50%, 0%, 0%, 0%, 25%, 50%, 25%)
Cup;Entropy;p-uniqueness (snb);0.002;0.4919738028931066;6.675493765861194;(60%, 100%, 0%, 0%, 0%, 100%, 100%, 0%)
Cup;Loss;p-uniqueness (snb);0.002;0.12073979025537959;2.501536861020476;(80%, 50%, 0%, 0%, 0%, 25%, 50%, 25%)
Cup;Entropy;p-uniqueness (snb);0.003;0.4919738028931066;6.675493765861194;(60%, 100%, 0%, 0%, 0%, 100%, 100%, 0%)
Cup;Loss;p-uniqueness (snb);0.003;0.12073979025537959;2.501536861020476;(80%, 50%, 0%, 0%, 0%, 25%, 50%, 25%)
Cup;Entropy;p-uniqueness (snb);0.004;0.4919738028931066;6.675493765861194;(60%, 100%, 0%, 0%, 0%, 100%, 100%, 0%)
Cup;Loss;p-uniqueness (snb);0.004;0.12073979025537959;2.501536861020476;(80%, 50%, 0%, 0%, 0%, 25%, 50%, 25%)
Cup;Entropy;p-uniqueness (snb);0.005;0.4919738028931066;6.675493765861194;(60%, 100%, 0%, 0%, 0%, 100%, 100%, 0%)
Cup;Loss;p-uniqueness (snb);0.005;0.12073979025537959;2.501536861020476;(80%, 50%, 0%, 0%, 0%, 25%, 50%, 25%)
Cup;Entropy;p-uniqueness (snb);0.006;0.4919738028931066;6.675493765861194;(60%, 100%, 0%, 0%, 0%, 100%, 100%, 0%)
Cup;Loss;p-uniqueness (snb);0.006;0.12073979025537959;2.501536861020476;(80%, 50%, 0%, 0%, 0%, 25%, 50%, 25%)
Cup;Entropy;p-uniqueness (snb);0.007;0.4919738028931066;6.675493765861194;(60%, 100%, 0%, 0%, 0%, 100%, 100%, 0%)
Cup;Loss;p-uniqueness (snb);0.007;0.12073979025537959;2.501536861020476;(80%, 50%, 0%, 0%, 0%, 25%, 50%, 25%)
Cup;Entropy;p-uniqueness (snb);0.008;0.4919738028931066;6.675493765861194;(60%, 100%, 0%, 0%, 0%, 100%, 100%, 0%)
Cup;Loss;p-uniqueness (snb);0.008;0.12073979025537959;2.501536861020476;(80%, 50%, 0%, 0%, 0%, 25%, 50%, 25%)
Cup;Entropy;p-uniqueness (snb);0.009;0.4919738028931066;6.675493765861194;(60%, 100%, 0%, 0%, 0%, 100%, 100%, 0%)
Cup;Loss;p-uniqueness (snb);0.009;0.12073979025537959;2.501536861020476;(80%, 50%, 0%, 0%, 0%, 25%, 50%, 25%)
Cup;Entropy;p-uniqueness (snb);0.01;0.4919738028931066;6.675493765861194;(60%, 100%, 0%, 0%, 0%, 100%, 100%, 0%)
Cup;Loss;p-uniqueness (snb);0.01;0.12073979025537959;2.501536861020476;(80%, 50%, 0%, 0%, 0%, 25%, 50%, 25%)
Fars;Entropy;p-uniqueness (dankar);0.001;0.17725875983140443;0.0;(0%, 0%, 33%, 100%, 0%, 0%, 0%, 0%)
Fars;Loss;p-uniqueness (dankar);0.001;0.08228287747703983;0.0;(60%, 0%, 33%, 33%, 0%, 0%, 0%, 0%)
Fars;Entropy;p-uniqueness (dankar);0.002;0.17725875983140443;0.0;(0%, 0%, 33%, 100%, 0%, 0%, 0%, 0%)
Fars;Loss;p-uniqueness (dankar);0.002;0.08228287747703983;0.0;(60%, 0%, 33%, 33%, 0%, 0%, 0%, 0%)
Fars;Entropy;p-uniqueness (dankar);0.003;0.17641836560780222;0.0;(20%, 0%, 0%, 33%, 0%, 0%, 33%, 0%)
Fars;Loss;p-uniqueness (dankar);0.003;0.057890092596482284;0.0;(20%, 0%, 0%, 33%, 0%, 0%, 33%, 0%)
Fars;Entropy;p-uniqueness (dankar);0.004;0.14682954694917522;0.0;(0%, 0%, 33%, 67%, 0%, 0%, 0%, 0%)
Fars;Loss;p-uniqueness (dankar);0.004;0.057890092596482284;0.0;(20%, 0%, 0%, 33%, 0%, 0%, 33%, 0%)
Fars;Entropy;p-uniqueness (dankar);0.005;0.14682954694917522;0.0;(0%, 0%, 33%, 67%, 0%, 0%, 0%, 0%)
Fars;Loss;p-uniqueness (dankar);0.005;0.057890092596482284;0.0;(20%, 0%, 0%, 33%, 0%, 0%, 33%, 0%)
Fars;Entropy;p-uniqueness (dankar);0.006;0.14682954694917522;0.0;(0%, 0%, 33%, 67%, 0%, 0%, 0%, 0%)
Fars;Loss;p-uniqueness (dankar);0.006;0.057890092596482284;0.0;(20%, 0%, 0%, 33%, 0%, 0%, 33%, 0%)
Fars;Entropy;p-uniqueness (dankar);0.007;0.14682954694917522;0.0;(0%, 0%, 33%, 67%, 0%, 0%, 0%, 0%)
Fars;Loss;p-uniqueness (dankar);0.007;0.057890092596482284;0.0;(20%, 0%, 0%, 33%, 0%, 0%, 33%, 0%)
Fars;Entropy;p-uniqueness (dankar);0.008;0.13244440054482454;0.0;(40%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Fars;Loss;p-uniqueness (dankar);0.008;0.04323019201173787;0.0;(40%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Fars;Entropy;p-uniqueness (dankar);0.009;0.125;0.0;(0%, 0%, 0%, 100%, 0%, 0%, 0%, 0%)
Fars;Loss;p-uniqueness (dankar);0.009;0.04323019201173787;0.0;(40%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Fars;Entropy;p-uniqueness (dankar);0.01;0.125;0.0;(0%, 0%, 0%, 100%, 0%, 0%, 0%, 0%)
Fars;Loss;p-uniqueness (dankar);0.01;0.04323019201173787;0.0;(40%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Fars;Entropy;p-uniqueness (pitman);0.001;0.17725875983140443;0.0;(0%, 0%, 33%, 100%, 0%, 0%, 0%, 0%)
Fars;Loss;p-uniqueness (pitman);0.001;0.08228287747703983;0.0;(60%, 0%, 33%, 33%, 0%, 0%, 0%, 0%)
Fars;Entropy;p-uniqueness (pitman);0.002;0.17725875983140443;0.0;(0%, 0%, 33%, 100%, 0%, 0%, 0%, 0%)
Fars;Loss;p-uniqueness (pitman);0.002;0.08228287747703983;0.0;(60%, 0%, 33%, 33%, 0%, 0%, 0%, 0%)
Fars;Entropy;p-uniqueness (pitman);0.003;0.17641836560780222;0.0;(20%, 0%, 0%, 33%, 0%, 0%, 33%, 0%)
Fars;Loss;p-uniqueness (pitman);0.003;0.057890092596482284;0.0;(20%, 0%, 0%, 33%, 0%, 0%, 33%, 0%)
Fars;Entropy;p-uniqueness (pitman);0.004;0.14682954694917522;0.0;(0%, 0%, 33%, 67%, 0%, 0%, 0%, 0%)
Fars;Loss;p-uniqueness (pitman);0.004;0.057890092596482284;0.0;(20%, 0%, 0%, 33%, 0%, 0%, 33%, 0%)
